I;L;J;AMUX;AMUN;AMUG;AMUF;E;D_J;Gx;Gn0;Gg;Gf
0.0;0;0.5;0.0;1.0;0.0;0.0;1000.0;3501.108791960792;0.0;0.24507761543725545;0.1351400212979946;0.0
0.0;1;0.5;0.0;1.0;0.0;0.0;1000.0;2765.8415903657465;0.0;0.0;0.2202281828559912;0.0
0.0;1;1.5;0.0;1.0;0.0;0.0;1000.0;2018.9058562313792;0.0;4.481419253709815;0.2202281828559912;0.0
0.0;2;1.5;0.0;1.0;0.0;0.0;1000.0;1259.2529255258437;0.0;0.0185558765973922;0.1351400212979946;0.0
0.0;2;2.5;0.0;1.0;0.0;0.0;1000.0;1577.2936279978737;0.0;0.01968479295518667;0.1351400212979946;0.0
0.0;0;0.5;0.0;1.0;0.0;0.0;1041.3289435570352;3501.1546196421286;0.0;0.245080823374949;0.13514581093143277;0.0
0.0;1;0.5;0.0;1.0;0.0;0.0;1041.3289435570352;2765.8777937843092;0.0;0.0;0.22023761781418674;0.0
0.0;1;1.5;0.0;1.0;0.0;0.0;1041.3289435570352;2018.9322826521861;0.0;4.481477913141926;0.22023761781418674;0.0
0.0;2;1.5;0.0;1.0;0.0;0.0;1041.3289435570352;1259.2694084874488;0.0;0.018556119484103285;0.13514581093143277;0.0
0.0;2;2.5;0.0;1.0;0.0;0.0;1041.3289435570352;1577.314273945787;0.0;0.019685050618821913;0.13514581093143277;0.0
0.0;0;0.5;0.0;1.0;0.0;0.0;1084.3659686896099;3501.2023415424233;0.0;0.24508416390796964;0.13515184007225067;0.0
0.0;1;0.5;0.0;1.0;0.0;0.0;1084.3659686896099;2765.915493617262;0.0;0.0;0.22024744308070476;0.0
0.0;1;1.5;0.0;1.0;0.0;0.0;1084.3659686896099;2018.9598013697414;0.0;4.481538997174303;0.22024744308070476;0.0
0.0;2;1.5;0.0;1.0;0.0;0.0;1084.3659686896099;1259.2865727477242;0.0;0.018556372410174847;0.13515184007225067;0.0
0.0;2;2.5;0.0;1.0;0.0;0.0;1084.3659686896099;1577.33577326321;0.0;0.019685318932599793;0.13515184007225067;0.0
0.0;0;0.5;0.0;1.0;0.0;0.0;1129.1816686047523;3501.2520359653977;0.0;0.2450876425175778;0.13515811863827404;0.0
0.0;1;0.5;0.0;1.0;0.0;0.0;1129.1816686047523;2765.954751723776;0.0;0.0;0.22025767481792807;0.0
0.0;1;1.5;0.0;1.0;0.0;0.0;1129.1816686047523;2018.9884575376943;0.0;4.48160260603571;0.22025767481792807;0.0
0.0;2;1.5;0.0;1.0;0.0;0.0;1129.1816686047523;1259.3044464703735;0.0;0.01855663579061661;0.13515811863827404;0.0
0.0;2;2.5;0.0;1.0;0.0;0.0;1129.1816686047523;1577.3581612269556;0.0;0.019685598336778697;0.13515811863827404;0.0
0.0;0;0.5;0.0;1.0;0.0;0.0;1175.849554052157;3501.3037844524806;0.0;0.24509126491167366;0.13516465695884677;0.0
0.0;1;0.5;0.0;1.0;0.0;0.0;1175.849554052157;2765.99563252078;0.0;0.0;0.2202683298588614;0.0
0.0;1;1.5;0.0;1.0;0.0;0.0;1175.849554052157;2019.0182981767123;0.0;4.481668844099176;0.2202683298588614;0.0
0.0;2;1.5;0.0;1.0;0.0;0.0;1175.849554052157;1259.3230589836153;0.0;0.01855691005759815;0.13516465695884677;0.0
0.0;2;2.5;0.0;1.0;0.0;0.0;1175.849554052157;1577.3814745724658;0.0;0.019685889289820863;0.13516465695884677;0.0
0.0;0;0.5;0.0;1.0;0.0;0.0;1224.4461739031435;3501.35767191673;0.0;0.2450950370341711;0.1351714657919743;0.0
0.0;1;0.5;0.0;1.0;0.0;0.0;1224.4461739031435;2766.0382030887563;0.0;0.0;0.22027942573506926;0.0
0.0;1;1.5;0.0;1.0;0.0;0.0;1224.4461739031435;2019.0493722517026;0.0;4.481737820053415;0.22027942573506926;0.0
0.0;2;1.5;0.0;1.0;0.0;0.0;1224.4461739031435;1259.34244082835;0.0;0.01855719566115867;0.1351714657919743;0.0
0.0;2;2.5;0.0;1.0;0.0;0.0;1224.4461739031435;1577.405751554142;0.0;0.019686192269145315;0.1351714657919743;0.0
0.0;0;0.5;0.0;1.0;0.0;0.0;1275.051240713013;3501.4137867823283;0.0;0.24509896507476298;0.13517855634218987;0.0
0.0;1;0.5;0.0;1.0;0.0;0.0;1275.051240713013;2766.0825332819413;0.0;0.0;0.22029098070579087;0.0
0.0;1;1.5;0.0;1.0;0.0;0.0;1275.051240713013;2019.0817307522548;0.0;4.4818096470813815;0.22029098070579087;0.0
0.0;2;1.5;0.0;1.0;0.0;0.0;1275.051240713013;1259.362623808334;0.0;0.01855749306994634;0.13517855634218987;0.0
0.0;2;2.5;0.0;1.0;0.0;0.0;1275.051240713013;1577.4310320081936;0.0;0.019686507771912196;0.13517855634218987;0.0
0.0;0;0.5;0.0;1.0;0.0;0.0;1327.7477614727686;3501.47222112983;0.0;0.2451030554790881;0.13518594027916914;0.0
0.0;1;0.5;0.0;1.0;0.0;0.0;1327.7477614727686;2766.1286958430696;0.0;0.0;0.2203030137882756;0.0
0.0;1;1.5;0.0;1.0;0.0;0.0;1327.7477614727686;2019.1154267763964;0.0;4.481884443046183;0.2203030137882756;0.0
0.0;2;1.5;0.0;1.0;0.0;0.0;1327.7477614727686;1259.3836410424203;0.0;0.0185578027719881;0.13518594027916914;0.0
0.0;2;2.5;0.0;1.0;0.0;0.0;1327.7477614727686;1577.45735741807;0.0;0.01968683631583939;0.13518594027916914;0.0
0.0;0;0.5;0.0;1.0;0.0;0.0;1382.6221737646563;3501.5330708474435;0.0;0.24510731495932103;0.13519362975712948;0.0
0.0;1;0.5;0.0;1.0;0.0;0.0;1382.6221737646563;2766.176766522885;0.0;0.0;0.2203155447893962;0.0
0.0;1;1.5;0.0;1.0;0.0;0.0;1382.6221737646563;2019.1505156178291;0.0;4.481962330684729;0.2203155447893962;0.0
0.0;2;1.5;0.0;1.0;0.0;0.0;1382.6221737646563;1259.405527018971;0.0;0.018558125275491454;0.13519362975712948;0.0
0.0;2;2.5;0.0;1.0;0.0;0.0;1382.6221737646563;1577.4847709826176;0.0;0.01968717844005311;0.13519362975712948;0.0
0.0;0;0.5;0.0;1.0;0.0;0.0;1439.7644875448796;3501.5964357885655;0.0;0.2451117505051996;0.13520163743504568;0.0
